mfn;numero_control;titulo;autores;responsabilidad;lugar;editorial;anio;isbn;descripcion_fisica;coleccion;idioma;temas;inventarios;ubicaciones;signaturas
1;BNM000001;Tecnologías y gestión local en Argentina: experiencias y perspectivas;Grandinetti, Rita | Nari, Patricia | Díaz, Cristina;Cristina Díaz , Rita Grandinetti, Patricia Nari;Rosario;Homo Sapiens;2002;950-808-349-2;304 p.;;español;ADMINISTRACION PUBLICA | GESTION PUBLICA | DESARROLLO REGIONAL | PROYECTOS DE DESARROLLO | DESCENTRALIZACION | NUEVAS TECNOLOGIAS | TIC | COOPERACION PUBLICA | COOPERACION PRIVADA | PROGRAMA DE REDUCCION | ADMINISTRACION Y ORGANIZACION;002481 | 002482;KAMSHEN;35 TEC | 35 TEC
2;BNM000002;Servicios públicos y organismos de control;Pérez Hualde, Alejandro | Emili, Eduardo O | Bustelo, Ernesto N | Lara, Andrea J | Boullaude, Gustavo | Rodríguez, Sergio I;Alejandro Pérez Hualde;Buenos Aires;Lexis Nexis Argentina;2006;987-592-061-4;328 p.;;español;SERVICIOS PUBLICOS | ORGANISMOS DE CONTROL | DESCENTRALIZACION | REGIMEN PUBLICO | DEFENSA DEL USUARIO | DEFENSA DE LOS MERCADOS | CONTRATO DE CONCESION | ENTES REGULADORES | SISTEMA TARIFARIO | ADMINISTRACION Y ORGANIZACION;002282 | 002283;KAMSHEN;351.9 SER | 351.9 SER
3;BNM000003;Las negociaciones colectivas;Dunlop, John T | Chamberlain, Neil W | Livernash, Robert E | Chandier, Margaret K | Summers, Clyde W, | Hildebrand, George | Reder, Melvin W | McKersie, Robert B | Gomberg, William | Kuhn, James W | Stevens, Carl M;John T. Dunlop , Neil W. Chamberlain;Buenos Aires;Marymar;1971;;364 p.;;español;SINDICATOS | NEGOCIACION COLECTIVA | HUELGA | SECTOR PUBLICO | MEDIACION | RECURSOS HUMANOS | CONVENIOS | SALARIO | TRABAJO Y EMPLEO;38;KAMSHEN;331 NEG
4;BNM000004;Administración pública;Gabín, María Amparo de la Encarnación;María Amparo de la Encarnación Gabín;Madrid;Thomson-Paraninfo;2003;84-9732-264-9;364 p. fot., gráf., tablas;Ciclo Formativo de Grado Superior Administración y Finanzas;español;ADMINISTRACION PUBLICA | NEGACIACION COLECTIVA | MEDIACION | PRESUPUESTO | CONTRATOS PUBLICOS | PROCEDIMIENTOS ADMINISTRATIVOS | ARCHIVOS ADMINISTRATIVOS | ESTADO DE DERECHO | ESTADO SOCIAL | TECNOLOGIAS DE LA INFORMACION | ADMINISTRACION GENERAL DEL ESTADO | RECURSOS HUMANOS | HUELGA | ADMINISTRACION Y ORGANIZACION;1997;KAMSHEN;351 GAB
5;BNM000005;;Instituto Nacional de Administración Pública | Congreso Nacional de Administración Pública;Instituto Nacional de Administración Pública;;;1802;;165 p. diagr.;;español;ADMINISTRACION PUBLICA | RACIONALIZACION ADMINISTRATIVA | INAP | CONTROL DE GESTION DE SERVICIOS | ADMINISTRACION Y ORGANIZACION;1085;KAMSHEN;35 CON
6;BNM000006;El presupuesto del sector público;Caplán, Benedicto | Caplán de Cohen, Norma;Benedicto Caplán , Norma Caplán de Cohen;Buenos Aires;Macchi;1979;;131 p.;;español;PRESUPUESTO PUBLICO | RECURSOS | EMPRESAS PUBLICAS | FACTURACION | COSTOS | PROGRAMA FINANCIERO | ADMINISTRACION Y ORGANIZACION;000161 | 000162;KAMSHEN;35.073 CAP | 35.073 CAP
7;BNM000007;Introducción a la administración pública Argentina: nación, provincia y municipios;Cao, Horacio | Blutman, Gustavo | Estévez, Alejandro | Iturburu, Mónica;Horacio Cao , Gustavo Blutman, Alejandro Estévez, Mónica Iturburu;Buenos Aires;Biblos;2007;978-950-786-615-9;156 p. diagr., gráf.;Política, Estado y Administración Pública;español;ADMINISTRACION PUBLICA | PRESUPUESTO | PRIVATIZACION | EMPLEO PUBLICO | ADMINISTRACION PUBLICA NACIONAL | ADMINISTRACION PUBLICA PROVINCIAL | ADMINISTRACION PUBLICA MUNICIPAL | ADMINISTRACION Y ORGANIZACION;2230;KAMSHEN;351 INT
8;BNM000008;Administración pública y política urbana;Heilbrun, James | Landes, Daniel;James Heilbrun , traducido por Daniel Landes;Buenos Aires;Marymar;1977;;434 p.;Economía;español;ECONOMIA SOCIAL | SECTOR PUBLICO | POLITICA DE VIVIENDA | ECONOMIA URBANA | ADMINISTRACION Y ORGANIZACION;34;KAMSHEN;35:711.1 HEI
9;BNM000009;Cultura organizacional en la administracion pública argentina;Felcman, Isidoro | Blutman, Gustavo | Mendez Parnes, Soledad;Isidoro Felcman , Gustavo Blutman, Soledad Mendez Parnes;Buenos Aires;Cooperativas;2002;987-1076-06-1;186 p. gráf., tablas;;español;ORGANIZACION PUBLICA | ADMINISTRACION PUBLICA | CULTURA ORGANIZACIONAL | ADMINISTRACION Y ORGANIZACION;1923;KAMSHEN;351 FEL
10;BNM000010;Administración Pública;Collazo, Oscar Juan;Oscar Juan Collazo;Buenos Aires;Macchi;1984;950-037-051-2;457 p.;;español;ADMINISTRACION PUBLICA | HACIENDA PUBLICA | DERECHO CONSTITUCIONAL | DERECHO CIVIL | DERECHO ADMINISTRATIVO | CONTABILIDAD PUBLICA | ECONOMIA POLITICA | FINANZAS PUBLICAS | ESTADISTICAS | PRESUPUESTO | ORGANIZACION | CENTRALIZACION | DESCENTRALIZACION | RACIONALIZACION | ORGANIZACION MUNICIPAL | DERECHO FINANCIERO | ADMINISTRACION POLITICA | SOCIEDADES DEL ESTADO | ORGANIZACION FEDERAL | REGIMEN TARIFARIO | CORPORACION | ADMINISTRACION Y ORGANIZACION;1978;KAMSHEN;351 COL
